                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.213736       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -4.65587359333183e-04
 9.75981309238886e-01  1.99402684947573e-03
 9.51957453799658e-01  3.90033110334518e-03
 9.27958433755116e-01  5.23704942163306e-03
 9.03994547756068e-01  6.02998399812540e-03
 8.80116630971915e-01  5.93870292754700e-03
 8.56376348475201e-01  5.06242397933922e-03
 8.32821985689076e-01  3.47027396870101e-03
 8.09492056322743e-01  1.21931212263763e-03
 7.86427252524688e-01 -1.65092813281519e-03
 7.63661850493657e-01 -5.10308947403573e-03
 7.41213555990593e-01 -9.01946328999136e-03
 7.19105581407576e-01 -1.33971346345667e-02
 6.97353322790099e-01 -1.82589865461506e-02
 6.75969429182214e-01 -2.34196431788586e-02
 6.54957525808175e-01 -2.88045789174413e-02
 6.34316201582095e-01 -3.43346819611509e-02
 6.14041671729561e-01 -3.99318342670281e-02
 5.94129176661070e-01 -4.55248557630212e-02
 5.74569147810184e-01 -5.10319541550432e-02
 5.55350151110081e-01 -5.63689014552340e-02
 5.36471417363855e-01 -6.14946355392204e-02
 5.17932048814152e-01 -6.63687328389162e-02
 4.99731431581415e-01 -7.09520722074776e-02
 4.81859042501829e-01 -7.51622917330208e-02
 4.64312983061146e-01 -7.89479370680207e-02
 4.47102633529193e-01 -8.23001759657745e-02
 4.30236571410127e-01 -8.52093910535640e-02
 4.13727512788041e-01 -8.76882172287734e-02
 3.97587263429921e-01 -8.97558386786857e-02
 3.81828093255583e-01 -9.14460693205349e-02
 3.66458085444161e-01 -9.27773565879506e-02
 3.51483244434545e-01 -9.37558275921152e-02
 3.36910868198834e-01 -9.44315969735241e-02
 3.22743860138047e-01 -9.48100034984684e-02
 3.08984808163545e-01 -9.48494158483380e-02
 2.95634554024021e-01 -9.47391876053106e-02
 2.82692690373906e-01 -9.43596011887328e-02
 2.70157314208519e-01 -9.37712511890308e-02
 2.58024824867652e-01 -9.30077107674965e-02
 2.46290654735359e-01 -9.20887254850796e-02
 2.34951486830353e-01 -9.10137080830502e-02
 2.24000520109676e-01 -8.98117802096657e-02
 2.13430762041314e-01 -8.84999672897388e-02
 2.03235881574844e-01 -8.70866097600437e-02
 1.93409774522025e-01 -8.55744189698006e-02
 1.83945050756060e-01 -8.39739054418511e-02
 1.74832519282073e-01 -8.23055624085073e-02
 1.66062618588988e-01 -8.05846208893195e-02
 1.57628875036393e-01 -7.88098559926740e-02
 1.49522317862791e-01 -7.69892485383035e-02
 1.41731331916503e-01 -7.51435085389521e-02
 1.34246975171986e-01 -7.32796785019603e-02
 1.27062871315730e-01 -7.13942065204607e-02
 1.20168739288228e-01 -6.94969580932579e-02
 1.13555386891041e-01 -6.75943369066591e-02
 1.07216365354996e-01 -6.56822517183288e-02
 1.01141650546029e-01 -6.37706311119971e-02
 9.53221362542185e-02 -6.18646718765986e-02
 8.97492190219593e-02 -5.99679283378459e-02
 8.44144640417500e-02 -5.80835313646221e-02
 7.93105817879060e-02 -5.62121097542279e-02
 7.44291590467310e-02 -5.43570113470701e-02
 6.97621271689940e-02 -5.25206019158026e-02
 6.53015016968125e-02 -5.07053469337534e-02
 6.10391257447974e-02 -4.89150389710818e-02
 5.69688918994874e-02 -4.71481439649422e-02
 5.30848529473302e-02 -4.54030247794146e-02
 4.93816088453825e-02 -4.36773913918325e-02
 4.58524726878278e-02 -4.19732311468461e-02
 4.24904319465625e-02 -4.02923323601334e-02
 3.92888492243831e-02 -3.86359910110526e-02
 3.62434195291395e-02 -3.70017004508561e-02
 3.33478801625536e-02 -3.53913361824712e-02
 3.05964934303721e-02 -3.38052458456394e-02
 2.79844610103678e-02 -3.22424913329688e-02
 2.55099128434264e-02 -3.06984429265335e-02
 2.31628164749934e-02 -2.91813891008414e-02
 2.09401344482229e-02 -2.76890589294093e-02
 1.88426782188384e-02 -2.62131750744585e-02
 1.68692320330021e-02 -2.47510296114551e-02
 1.50024024279101e-02 -2.33201011237506e-02
 1.32432107322661e-02 -2.19143418000086e-02
 1.16006147680783e-02 -2.05173303701582e-02
 1.00846442681763e-02 -1.91160474446297e-02
 8.66877332691054e-03 -1.77373875279597e-02
 7.31570950520997e-03 -1.64134489600100e-02
 6.05192347359190e-03 -1.51169560709283e-02
 4.93575328951514e-03 -1.37910825857741e-02
 3.98183649719909e-03 -1.24316037056070e-02
 3.16724875159362e-03 -1.10656928793756e-02
 2.51350590093202e-03 -9.69312753399583e-03
 2.00778413305244e-03 -8.33056208289000e-03
 1.63487525349305e-03 -6.98797815368147e-03
 1.31127438017382e-03 -5.69366817703987e-03
 1.02099463911911e-03 -4.45225348671625e-03
 7.49364889771664e-04 -3.26350797751177e-03
 4.91947441408787e-04 -2.12597156928405e-03
 2.43419636033398e-04 -1.03851590574570e-03
 0.00000000000000e+00  0.00000000000000e+00
 2.39604762253463e-04  1.03893899128974e-03
 4.68208255730695e-04  2.12857468683852e-03
 6.95304848501055e-04  3.27006750883064e-03
 9.25967116732232e-04  4.46416951751695e-03
 1.16674637720366e-03  5.71222239673559e-03
 1.43013147574271e-03  7.01332910735157e-03
 1.73684941387106e-03  8.36830520919461e-03
 2.10509278099652e-03  9.76962234907440e-03
 2.60727509757058e-03  1.11944599005286e-02
 3.23051107841513e-03  1.26496741676160e-02
 3.94896067992057e-03  1.41379348301873e-02
 4.79075474651294e-03  1.56429306046110e-02
 5.75166449296693e-03  1.71660260125355e-02
 6.80632633209720e-03  1.87245900144091e-02
 7.90985388401078e-03  2.03501216066237e-02
 9.11595121182858e-03  2.20091160358022e-02
 1.04344249289595e-02  2.36960300079116e-02
 1.18686397174491e-02  2.54113681205509e-02
 1.34069335200146e-02  2.71664610586086e-02
 1.50517859888278e-02  2.89627905081485e-02
 1.68145269492975e-02  3.07937702361547e-02
 1.87058848173762e-02  3.26539045774941e-02
 2.07206286707022e-02  3.45515662304792e-02
 2.28659428536010e-02  3.64838298090272e-02
 2.51485862259736e-02  3.84487928727542e-02
 2.75745976199885e-02  4.04450905109683e-02
 3.01413374427115e-02  4.24968310047556e-02
 3.28583958431448e-02  4.45835684204157e-02
 3.57327805055404e-02  4.67033072317781e-02
 3.87680678968113e-02  4.88587572582171e-02
 4.19721134677240e-02  5.10451778387386e-02
 4.53512969877435e-02  5.32613381815148e-02
 4.89125750967639e-02  5.55063193989530e-02
 5.26638248479387e-02  5.77778344090848e-02
 5.66072713109104e-02  6.00826015178522e-02
 6.07510998170498e-02  6.24171443819980e-02
 6.51036537856168e-02  6.47777919397586e-02
 6.96729158880200e-02  6.71609344639037e-02
 7.44670890976199e-02  6.95620056526712e-02
 7.94943932706212e-02  7.19781552445969e-02
 8.47630744434373e-02  7.44072515466707e-02
 9.02814290199020e-02  7.68472135960391e-02
 9.60592705550888e-02  7.92906658652874e-02
 1.02101267617403e-01  8.17400496921322e-02
 1.08415048540874e-01  8.41928231928994e-02
 1.15011214072088e-01  8.66392307061709e-02
 1.21903214444783e-01  8.90616740683929e-02
 1.29096637100487e-01  9.14631309751894e-02
 1.36605163145452e-01  9.38198452321810e-02
 1.44431925795504e-01  9.61454883775108e-02
 1.52580716923248e-01  9.84505564953907e-02
 1.61063647275270e-01  1.00710776515736e-01
 1.69911058328689e-01  1.02829172659563e-01
 1.79095476129550e-01  1.04948667622375e-01
 1.88644563390825e-01  1.06969904571852e-01
 1.98568007274525e-01  1.08869456737750e-01
 2.08870580186011e-01  1.10643421729746e-01
 2.19554642093169e-01  1.12306065044533e-01
 2.30623643974560e-01  1.13863338544295e-01
 2.42096164370945e-01  1.15208827084417e-01
 2.53973818708213e-01  1.16328683520602e-01
 2.66256306575034e-01  1.17230255097359e-01
 2.78945272574835e-01  1.17910668489613e-01
 2.92041645143373e-01  1.18418922929647e-01
 3.05548503775257e-01  1.18596173762107e-01
 3.19465993867789e-01  1.18598996606876e-01
 3.33790375666750e-01  1.18350510519209e-01
 3.48519905155322e-01  1.17746284506920e-01
 3.63654860068890e-01  1.16926313865223e-01
 3.79190262422028e-01  1.15810930688472e-01
 3.95123152653760e-01  1.14409138281182e-01
 4.11450905266824e-01  1.12730666137837e-01
 4.28178779761489e-01  1.10858594700659e-01
 4.45285460037017e-01  1.08643103239858e-01
 4.62783979337982e-01  1.06229496892238e-01
 4.80633902235409e-01  1.03503611546579e-01
 4.98855585024654e-01  1.00560473937350e-01
 5.17461404465576e-01  9.74582237757857e-02
 5.36422785824669e-01  9.40803269252855e-02
 5.55742961752562e-01  9.04970742933648e-02
 5.75414886796225e-01  8.67191453021801e-02
 5.95424698031175e-01  8.27339781665464e-02
 6.15762433900871e-01  7.85541189936429e-02
 6.36416022739253e-01  7.41829983605816e-02
 6.57386302758768e-01  6.96940677383384e-02
 6.78659238421360e-01  6.50916776048314e-02
 7.00218908817963e-01  6.03774763120864e-02
 7.22062634953182e-01  5.56188759287045e-02
 7.44165475850762e-01  5.07855058801771e-02
 7.66524475598017e-01  4.59535103918456e-02
 7.89121212926367e-01  4.11321479395868e-02
 8.11939282721793e-01  3.63456227478855e-02
 8.34962454763040e-01  3.16216993094478e-02
 8.58164798255304e-01  2.69448178890188e-02
 8.81526812835701e-01  2.23345227768189e-02
 9.05029611582894e-01  1.78170626089959e-02
 9.28651137930441e-01  1.34076402141846e-02
 9.52370528186046e-01  9.17591086301726e-03
 9.76161499554405e-01  5.05832189434206e-03
 1.00000000000000e+00  1.10221972489531e-03
