                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.284901       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -8.37001459482757e-03
 9.75299086761934e-01 -3.42786973024613e-03
 9.50411074794268e-01  4.96826601960591e-05
 9.25434268496540e-01  1.64825301897910e-03
 9.00477256494643e-01  1.97571871417865e-03
 8.75643035697940e-01  9.86314469606135e-04
 8.51017209633579e-01 -1.24971251649822e-03
 8.26663860536216e-01 -4.53704309901151e-03
 8.02640180268987e-01 -8.78802270652190e-03
 7.78999708146271e-01 -1.39563715441608e-02
 7.55789273159933e-01 -1.99814903299565e-02
 7.33005745413040e-01 -2.66515332972394e-02
 7.10650175759070e-01 -3.38204386984130e-02
 6.88720277828800e-01 -4.13695940066151e-02
 6.67200056334974e-01 -4.91689770910642e-02
 6.46063054713837e-01 -5.70808902931159e-02
 6.25286214836062e-01 -6.49919485292869e-02
 6.04846071287246e-01 -7.27965050366719e-02
 5.84718679870306e-01 -8.03930948133696e-02
 5.64889295669067e-01 -8.77047447054666e-02
 5.45349587297503e-01 -9.46707249324667e-02
 5.26090939280055e-01 -1.01226417260157e-01
 5.07116632544052e-01 -1.07338296050954e-01
 4.88432670211759e-01 -1.12979971494030e-01
 4.70045456389541e-01 -1.18124059028439e-01
 4.51966092712302e-01 -1.22758433756226e-01
 4.34209984742252e-01 -1.26889386558696e-01
 4.16792923884086e-01 -1.30529499385785e-01
 3.99727032739685e-01 -1.33677839840168e-01
 3.83025395666702e-01 -1.36345608195821e-01
 3.66702391426360e-01 -1.38556487056305e-01
 3.50767230180381e-01 -1.40312619559042e-01
 3.35231695077172e-01 -1.41643345736926e-01
 3.20104039024168e-01 -1.42564087056031e-01
 3.05392456365923e-01 -1.43103520768392e-01
 2.91101917313558e-01 -1.43286947251908e-01
 2.77237107651313e-01 -1.43135918425374e-01
 2.63801487053979e-01 -1.42632659991819e-01
 2.50795573690436e-01 -1.41847655413029e-01
 2.38220894272491e-01 -1.40777204918301e-01
 2.26076898226867e-01 -1.39441427737595e-01
 2.14361150770199e-01 -1.37865812365133e-01
 2.03071709968466e-01 -1.36063473926747e-01
 1.92205360132877e-01 -1.34050324256153e-01
 1.81756570416946e-01 -1.31850081585012e-01
 1.71721548897553e-01 -1.29473717761769e-01
 1.62093744464582e-01 -1.26941214206702e-01
 1.52864858507062e-01 -1.24273605996064e-01
 1.44026345286228e-01 -1.21490238226055e-01
 1.35571397568588e-01 -1.18601330731417e-01
 1.27490479338413e-01 -1.15623569054519e-01
 1.19771157216810e-01 -1.12579305249462e-01
 1.12405752886091e-01 -1.09476043927158e-01
 1.05384648546542e-01 -1.06326037375457e-01
 9.86938376883737e-02 -1.03148339959142e-01
 9.23227579056358e-02 -9.99530789732705e-02
 8.62621190254526e-02 -9.67469784705812e-02
 8.04993503036341e-02 -9.35421686028048e-02
 7.50219349754105e-02 -9.03499520814479e-02
 6.98227519001070e-02 -8.71711381053379e-02
 6.48924149769007e-02 -8.40112106643701e-02
 6.02164648901874e-02 -8.08826683396270e-02
 5.57875097751767e-02 -7.77867509700061e-02
 5.15978974432506e-02 -7.47247759588655e-02
 4.76378343838655e-02 -7.17009205660579e-02
 4.38957928044276e-02 -6.87216022291942e-02
 4.03620896110123e-02 -6.57913283269404e-02
 3.70296303420732e-02 -6.29107614516263e-02
 3.38890541203285e-02 -6.00827620830416e-02
 3.09340680860178e-02 -5.73072515724386e-02
 2.81634481350892e-02 -5.45793884355207e-02
 2.55647032049874e-02 -5.19063836161051e-02
 2.31372360450327e-02 -4.92839537438503e-02
 2.08719740623842e-02 -4.67143416308694e-02
 1.87576682717017e-02 -4.42026642149893e-02
 1.67941319969575e-02 -4.17442953411131e-02
 1.49725614807044e-02 -3.93425839905870e-02
 1.32826111365854e-02 -3.70004905934158e-02
 1.17147410616341e-02 -3.47200243529491e-02
 1.02833888925742e-02 -3.24895445865319e-02
 8.97184080714710e-03 -3.03153360352336e-02
 7.77035966546627e-03 -2.82003129767970e-02
 6.67005435091175e-03 -2.61462682559081e-02
 5.68857888307901e-03 -2.41451389630819e-02
 4.81266021963109e-03 -2.21994557666150e-02
 4.02349053242484e-03 -2.03165456950667e-02
 3.27941192061645e-03 -1.85116022585461e-02
 2.61319424399914e-03 -1.67664224424216e-02
 2.07797073310416e-03 -1.50623914465588e-02
 1.63882493883795e-03 -1.34100059120395e-02
 1.27350035031295e-03 -1.18131362240315e-02
 1.00790139131799e-03 -1.02714475967840e-02
 8.06706213467379e-04 -8.78577044289054e-03
 6.48639209113192e-04 -7.35995736273262e-03
 5.20927393619299e-04 -5.99337238392773e-03
 4.09482807320127e-04 -4.68519711300482e-03
 3.01461648204141e-04 -3.43395281797066e-03
