                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.292505       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -8.88175953876989e-03
 9.75217867750137e-01 -3.91216598953941e-03
 9.50231851634010e-01 -4.56147249349226e-04
 9.25151114088968e-01  9.92722187248904e-04
 9.00093962407795e-01  1.16546556224325e-03
 8.75168925837733e-01 -1.58300273031264e-05
 8.50464644798705e-01 -2.46910798167067e-03
 8.26046370431222e-01 -6.00585055320022e-03
 8.01970913084300e-01 -1.05165263740912e-02
 7.78289262765010e-01 -1.59398956546363e-02
 7.55046364524197e-01 -2.22048583462002e-02
 7.32234142109233e-01 -2.90901503762931e-02
 7.09852342111000e-01 -3.64601963484988e-02
 6.87897192164416e-01 -4.41979650076951e-02
 6.66349626355810e-01 -5.21691938668730e-02
 6.45181461793883e-01 -6.02361293391333e-02
 6.24369077534674e-01 -6.82868868353072e-02
 6.03889484309321e-01 -7.62190843787451e-02
 5.83718104096317e-01 -8.39301843417238e-02
 5.63840934555770e-01 -9.13452093493793e-02
 5.44250196199362e-01 -9.84044380133525e-02
 5.24937373766999e-01 -1.05043195940903e-01
 5.05907315174906e-01 -1.11231814325503e-01
 4.87165974691974e-01 -1.16942837545207e-01
 4.68720188620954e-01 -1.22149670947800e-01
 4.50581423479966e-01 -1.26840641854781e-01
 4.32765547597023e-01 -1.31022754612642e-01
 4.15288107771924e-01 -1.34706222092417e-01
 3.98161629576660e-01 -1.37891177262016e-01
 3.81399271748616e-01 -1.40587207597813e-01
 3.65015969091704e-01 -1.42819767342892e-01
 3.49021221123898e-01 -1.44591195633784e-01
 3.33427030202651e-01 -1.45929963677140e-01
 3.18241891264975e-01 -1.46851076540108e-01
 3.03474356088038e-01 -1.47383386637472e-01
 2.89129712941599e-01 -1.47552301357234e-01
 2.75212924732603e-01 -1.47379358965726e-01
 2.61727766786311e-01 -1.46846309326072e-01
 2.48675116200295e-01 -1.46023071037349e-01
 2.36056727372358e-01 -1.44907428021162e-01
 2.23872450375058e-01 -1.43519138480661e-01
 2.12120137237064e-01 -1.41883649240592e-01
 2.00797953031244e-01 -1.40015600791156e-01
 1.89902838007221e-01 -1.37931900184822e-01
 1.79429648370755e-01 -1.35655015565868e-01
 1.69374603447675e-01 -1.33197503745930e-01
 1.59731906372812e-01 -1.30576779571787e-01
 1.50492695003965e-01 -1.27816987995612e-01
 1.41648480134403e-01 -1.24938022267998e-01
 1.33192798820511e-01 -1.21949623289334e-01
 1.25116148292553e-01 -1.18868866083740e-01
 1.17406006172504e-01 -1.15718593639991e-01
 1.10054612593539e-01 -1.12506957918875e-01
 1.03052462133363e-01 -1.09246312668486e-01
 9.63853101043122e-02 -1.05956311971095e-01
 9.00424747062054e-02 -1.02647532777641e-01
 8.40145649740705e-02 -9.93272468981862e-02
 7.82890627576427e-02 -9.60072812024641e-02
 7.28530464735329e-02 -9.26996528664926e-02
 6.76991497670246e-02 -8.94058435107328e-02
 6.28178179576608e-02 -8.61318560961963e-02
 5.81942741359147e-02 -8.28903172202623e-02
 5.38209794478673e-02 -7.96827775753254e-02
 4.96899932732606e-02 -7.65110825116001e-02
 4.57915272439308e-02 -7.33794115335467e-02
 4.21140454460301e-02 -7.02940351496809e-02
 3.86476591096163e-02 -6.72596172036569e-02
 3.53849058941064e-02 -6.42773009671768e-02
 3.23161068711985e-02 -6.13502049135548e-02
 2.94346192546916e-02 -5.84786166555683e-02
 2.67387014185310e-02 -5.56581685405708e-02
 2.42153621927359e-02 -5.28962758820690e-02
 2.18642320814292e-02 -5.01885526579590e-02
 1.96752927165037e-02 -4.75379254998647e-02
 1.76372108692320e-02 -4.49490490651688e-02
 1.57499825952445e-02 -4.24175181013649e-02
 1.40054599423204e-02 -3.99460379236653e-02
 1.23925356373719e-02 -3.75377034272215e-02
 1.09012078833873e-02 -3.51947629758514e-02
 9.54501775796024e-03 -3.29067037597976e-02
 8.30691387523172e-03 -3.06798998901375e-02
 7.17659409138779e-03 -2.85169464083482e-02
 6.14481925324321e-03 -2.64192719245392e-02
 5.22892885640477e-03 -2.43791279072190e-02
 4.41427920435475e-03 -2.23988679340690e-02
 3.68212845087904e-03 -2.04851735182928e-02
 2.99835777035906e-03 -1.86476072283715e-02
 2.38658255639883e-03 -1.68748384155144e-02
 1.89832477916565e-03 -1.51485194408460e-02
 1.49767950978740e-03 -1.34790827909069e-02
 1.16383048669940e-03 -1.18689490395411e-02
 9.22728937165063e-04 -1.03170683704173e-02
 7.40780421144808e-04 -8.82312669024747e-03
 5.95797186170124e-04 -7.39076316838645e-03
 4.79239950666105e-04 -6.01844289437392e-03
 3.77785898708656e-04 -4.70473243057209e-03
 2.78668937060311e-04 -3.44833067212779e-03
 1.84002521567421e-04 -2.24667102344086e-03
 9.22409050112014e-05 -1.09760781232340e-03
 0.00000000000000e+00  0.00000000000000e+00
 9.09382302407368e-05  1.10152829259405e-03
 1.77871091958307e-04  2.24927256323957e-03
 2.65551568763477e-04  3.44947549209039e-03
 3.56718519816127e-04  4.70366687189899e-03
 4.47933542764749e-04  6.01447108091729e-03
 5.50657863738109e-04  7.38305337457670e-03
 6.80138909559345e-04  8.81071660767744e-03
 8.44883532437771e-04  1.03002122141926e-02
 1.05688614059127e-03  1.18490942690330e-02
 1.34555002394699e-03  1.34585006269196e-02
 1.69558926538998e-03  1.51288372994384e-02
 2.12083986380692e-03  1.68614164343764e-02
 2.63389826733828e-03  1.86500240076077e-02
 3.23797886622091e-03  2.05001052819760e-02
 3.87731544367646e-03  2.24273503406628e-02
 4.59191577416921e-03  2.44226343767523e-02
 5.40636041930549e-03  2.64810249078874e-02
