                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.196175       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -1.11776693330374e-04
 9.76284678753785e-01  2.60196644250410e-03
 9.52517254216680e-01  4.55621078891166e-03
 9.28759155935556e-01  5.61588093396347e-03
 9.05050829974506e-01  5.99498903040227e-03
 8.81436338866168e-01  5.73512979233136e-03
 8.57970214155371e-01  4.62415433179093e-03
 8.34677806626141e-01  2.93797676221240e-03
 8.11597719305523e-01  6.71123815474702e-04
 7.88754445234870e-01 -2.08751237490479e-03
 7.66175856001522e-01 -5.30907792895683e-03
 7.43875403027314e-01 -9.04370451355524e-03
 7.21876001651949e-01 -1.30604759795864e-02
 7.00195362766363e-01 -1.67757291685343e-02
 6.78846958162240e-01 -2.07023874355888e-02
 6.57841858394765e-01 -2.49786204527406e-02
 6.37183842439614e-01 -2.93461180401848e-02
 6.16879623414438e-01 -3.37654564581279e-02
 5.96930659661868e-01 -3.81795175830806e-02
 5.77334876032719e-01 -4.25306310026774e-02
 5.58088556335593e-01 -4.67635714989458e-02
 5.39193056538173e-01 -5.08361191237821e-02
 5.20652407444220e-01 -5.47306427491473e-02
 5.02466537387427e-01 -5.84077251308698e-02
 4.84628459768513e-01 -6.17971144073234e-02
 4.67140283576280e-01 -6.48724865618130e-02
 4.50007492541123e-01 -6.76057408019952e-02
 4.33236665598979e-01 -6.99860064180866e-02
 4.16839046355947e-01 -7.20390895661326e-02
 4.00819968713497e-01 -7.37447001443146e-02
 3.85190607065462e-01 -7.51605585734006e-02
 3.69956349841450e-01 -7.63057444052553e-02
 3.55118117701301e-01 -7.71292169216128e-02
 3.40681024099750e-01 -7.76840857100689e-02
 3.26647916493880e-01 -7.80106520393410e-02
 3.13019647243243e-01 -7.80792691516689e-02
 2.99794856234081e-01 -7.80313639106198e-02
 2.86971890452594e-01 -7.77544362793211e-02
 2.74548114840786e-01 -7.73082871184939e-02
 2.62518659627389e-01 -7.67351179723433e-02
 2.50878104080399e-01 -7.60587123080526e-02
 2.39622669096242e-01 -7.52654749452679e-02
 2.28746281771131e-01 -7.43494107541034e-02
 2.18241450711060e-01 -7.33436518166825e-02
 2.08100840572179e-01 -7.22664700858538e-02
 1.98317271162859e-01 -7.11244139262241e-02
 1.88884558396082e-01 -6.99124885970115e-02
 1.79794404373762e-01 -6.86367619353076e-02
 1.71037188362907e-01 -6.73180931586365e-02
 1.62605681157480e-01 -6.59600042633307e-02
 1.54490812730748e-01 -6.45718802944646e-02
 1.46682299953051e-01 -6.31678543321776e-02
 1.39172160377094e-01 -6.17460155955276e-02
 1.31953791475294e-01 -6.03036382096531e-02
 1.25017633286038e-01 -5.88493446745683e-02
 1.18354749163698e-01 -5.73893090887705e-02
 1.11958096032662e-01 -5.59219573670739e-02
 1.05818344228149e-01 -5.44561773715200e-02
 9.99280901090838e-02 -5.29894488224111e-02
 9.42797232378965e-02 -5.15205270004679e-02
 8.88662544882134e-02 -5.00467273368700e-02
 8.36798087419674e-02 -4.85750214485710e-02
 7.87114456876383e-02 -4.71116993248277e-02
 7.39528021413333e-02 -4.56609686964504e-02
 6.93967509438662e-02 -4.42232115643469e-02
 6.50365856715613e-02 -4.27986521259209e-02
 6.08665363864390e-02 -4.13849358859299e-02
 5.68805756345525e-02 -3.99805627810738e-02
 5.30734995462152e-02 -3.85836829056988e-02
 4.94383428748891e-02 -3.71978975598743e-02
 4.59677836388698e-02 -3.58261595044924e-02
 4.26559784990016e-02 -3.44684807359081e-02
 3.94984441131568e-02 -3.31228248060985e-02
 3.64889795970851e-02 -3.17910493582956e-02
 3.36227307817475e-02 -3.04724028327207e-02
 3.08939107324817e-02 -2.91680324130979e-02
 2.83007122741350e-02 -2.78734924299920e-02
 2.58352933061445e-02 -2.65938674376665e-02
 2.34962481257598e-02 -2.53231995757573e-02
 2.12806835063768e-02 -2.40582786132054e-02
 1.91871031497855e-02 -2.27969677167859e-02
 1.72013302573995e-02 -2.15534410517159e-02
 1.53230395845641e-02 -2.03245781797496e-02
 1.35630038696937e-02 -1.90893245207888e-02
 1.19297756729808e-02 -1.78348208923125e-02
 1.03994909274783e-02 -1.65908000719373e-02
 8.94551969475851e-03 -1.53868308354964e-02
 7.58389006091032e-03 -1.42001890590194e-02
 6.35775940281610e-03 -1.29797889860388e-02
 5.25495491343649e-03 -1.17491309772513e-02
 4.26248602395023e-03 -1.05249428776254e-02
 3.41851559334862e-03 -9.28377167957769e-03
 2.73183062814606e-03 -8.02752084051679e-03
 2.19042611407361e-03 -6.76719511391780e-03
 1.72424477743273e-03 -5.53523655001863e-03
 1.31592670085523e-03 -4.34171269930861e-03
 9.46660267593874e-04 -3.19057969783235e-03
 6.08949837685378e-04 -2.08291694444683e-03
 2.95340982928978e-04 -1.01947738708186e-03
 0.00000000000000e+00  0.00000000000000e+00
 2.33180608217356e-04  1.03691563295531e-03
 4.39578121508189e-04  2.12921006965208e-03
 6.39763656513077e-04  3.27126778953685e-03
 8.39768806767479e-04  4.46606729138275e-03
 1.04797571969142e-03  5.71481377604378e-03
 1.27185076125021e-03  7.01702385140862e-03
 1.52811789025999e-03  8.37371693090835e-03
 1.83418456477571e-03  9.78138200583385e-03
 2.24093475698612e-03  1.12249045190402e-02
 2.74012394073725e-03  1.27081576094042e-02
 3.33123421146014e-03  1.42242088697923e-02
 4.10337231215662e-03  1.57552571472692e-02
 5.06956449583795e-03  1.72696391114113e-02
 6.14096358226784e-03  1.88143579543434e-02
 7.25300004768551e-03  2.04302626602670e-02
 8.46642415928247e-03  2.20801818084114e-02
 9.79652107134383e-03  2.37537464668302e-02
 1.12487633537695e-02  2.54494175503848e-02
 1.28114184182515e-02  2.71957977420586e-02
 1.44856362762144e-02  2.89828432480872e-02
 1.62804205777434e-02  3.08029932979598e-02
 1.82054467191761e-02  3.26509581090969e-02
 2.02569245063176e-02  3.45344304552251e-02
 2.24402762986180e-02  3.64513735502708e-02
 2.47597247130909e-02  3.84007854372935e-02
 2.72208575351945e-02  4.03815291642286e-02
 2.98230507969169e-02  4.23342509570156e-02
 3.25749786581314e-02  4.43162437714495e-02
 3.54835056761386e-02  4.63279400290056e-02
 3.85530309883606e-02  4.83703894356680e-02
 4.17903959585699e-02  5.04438311660766e-02
 4.52005971567331e-02  5.25514105622119e-02
 4.87867486200956e-02  5.46889924664776e-02
 5.25471412112030e-02  5.68480535134474e-02
 5.65002821039069e-02  5.90281543774202e-02
 6.06540672453316e-02  6.12292656001299e-02
 6.50164799295928e-02  6.34520628405993e-02
 6.95950029812293e-02  6.57003173429150e-02
 7.43976456046185e-02  6.79728249002994e-02
 7.94327804010631e-02  7.02645809212484e-02
 8.47091056361610e-02  7.25668761210962e-02
 9.02354553476031e-02  7.48685078810912e-02
 9.60218143326344e-02  7.71581161483923e-02
 1.02071824779876e-01  7.94569207137206e-02
 1.08392386584691e-01  8.17892672955530e-02
 1.14994066538699e-01  8.41391096897130e-02
 1.21890175959811e-01  8.64819082918770e-02
 1.29086894501956e-01  8.88141169334502e-02
 1.36597768651557e-01  9.11147681619413e-02
 1.44426632971526e-01  9.33881306786991e-02
 1.52577505343974e-01  9.56432042246311e-02
 1.61061488881218e-01  9.78736987276894e-02
 1.69907236692286e-01  1.00011358763715e-01
 1.79090892403032e-01  1.02140270695832e-01
 1.88638682626503e-01  1.04188009036254e-01
 1.98560076948436e-01  1.06138628859038e-01
 2.08859654679507e-01  1.07998406773363e-01
 2.19539918358304e-01  1.09782487116435e-01
 2.30605294907007e-01  1.11478522624096e-01
 2.42073807324551e-01  1.13019237732013e-01
 2.53947267814532e-01  1.14431493178410e-01
 2.66224976118424e-01  1.15737986011027e-01
 2.78909518392418e-01  1.16914289732787e-01
 2.92003080809323e-01  1.17909662232527e-01
 3.05508207954477e-01  1.18528883409225e-01
 3.19424502407443e-01  1.18639538042928e-01
 3.33749684025806e-01  1.18505205902571e-01
 3.48483143559832e-01  1.18141470493599e-01
 3.63624107639025e-01  1.17557207522483e-01
 3.79167653759678e-01  1.16736126746956e-01
 3.95111298081145e-01  1.15693659685356e-01
 4.11452333657591e-01  1.14382332977397e-01
 4.28193424087273e-01  1.12767530209794e-01
 4.45315633340476e-01  1.10816593655348e-01
 4.62831341338719e-01  1.08679118321642e-01
 4.80798784223110e-01  1.06194945354726e-01
 4.99176614135998e-01  1.03480528981839e-01
 5.17925979967627e-01  1.00579384461876e-01
 5.37024334203656e-01  9.73773777417429e-02
 5.56473796106231e-01  9.39550035212272e-02
 5.76218935601070e-01  9.03041297074296e-02
 5.96287383134902e-01  8.64175544575086e-02
 6.16672301819937e-01  8.23118896016558e-02
 6.37358201104571e-01  7.79791386944454e-02
 6.58347026233986e-01  7.34952521046081e-02
 6.79624172603876e-01  6.88608899020014e-02
 7.01174503061064e-01  6.40801016678150e-02
 7.22992807924615e-01  5.92047339018773e-02
 7.45057667734025e-01  5.42176373671534e-02
 7.67366633714893e-01  4.91898218833775e-02
 7.89901765500581e-01  4.41288749257158e-02
 8.12651737101666e-01  3.90726575609132e-02
 8.35598773709166e-01  3.40402418179589e-02
 8.58720668676303e-01  2.90310882711312e-02
 8.81996999163998e-01  2.40592884811104e-02
 9.05413445012574e-01  1.91661130268582e-02
 9.28953167602091e-01  1.43832815134050e-02
 9.52581197095460e-01  9.65135591733217e-03
 9.76271120252907e-01  4.95311553562309e-03
 1.00000000000000e+00  3.07309261546236e-04
