                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.187904       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -2.75193879104279e-05
 9.76478286385571e-01  2.90289557053286e-03
 9.52842575835237e-01  4.93533322054617e-03
 9.29194430370299e-01  5.79955027089505e-03
 9.05606056808978e-01  5.91766144612532e-03
 8.82118241353911e-01  5.45569674881055e-03
 8.58790544609147e-01  4.04764053921354e-03
 8.35631039193512e-01  2.21944325029851e-03
 8.12680800287437e-01 -1.11069763825663e-04
 7.89954934528893e-01 -2.80070763130829e-03
 7.67479450130534e-01 -5.83305707109456e-03
 7.45267098610558e-01 -9.30275085158974e-03
 7.23336922167574e-01 -1.29983832162930e-02
 7.01705993433756e-01 -1.63736183973868e-02
 6.80385805825155e-01 -1.98568532488850e-02
 6.59389765972575e-01 -2.36458952086367e-02
 6.38722227128800e-01 -2.74546973223805e-02
 6.18394505996341e-01 -3.12668869607450e-02
 5.98411173480568e-01 -3.50353869687805e-02
 5.78775605413712e-01 -3.87204868428380e-02
 5.59491055950468e-01 -4.22924339385659e-02
 5.40560066892849e-01 -4.57088945178579e-02
 5.21990305393616e-01 -4.89687709877661e-02
 5.03783502872431e-01 -5.20372501076620e-02
 4.85937378680423e-01 -5.48643276238868e-02
 4.68457937657377e-01 -5.74532410756798e-02
 4.51347360924864e-01 -5.97624817071748e-02
 4.34611571636387e-01 -6.17890077220218e-02
 4.18260329667138e-01 -6.35685778012051e-02
 4.02294373166085e-01 -6.50494559755516e-02
 3.86723919106692e-01 -6.63054672417880e-02
 3.71552414831123e-01 -6.73536626785845e-02
 3.56777651127066e-01 -6.80996972828477e-02
 3.42403153920001e-01 -6.85935621248464e-02
 3.28432134231450e-01 -6.89084859708495e-02
 3.14864286366639e-01 -6.90400052527854e-02
 3.01696952117897e-01 -6.90524726510064e-02
 2.88927853473813e-01 -6.88636280802806e-02
 2.76553902375049e-01 -6.85331380381049e-02
 2.64569781475259e-01 -6.81023665630134e-02
 2.52969651628996e-01 -6.75992483450161e-02
 2.41749297967785e-01 -6.70043550118684e-02
 2.30903718332759e-01 -6.62777419002005e-02
 2.20425377961627e-01 -6.54650356763758e-02
 2.10306015858651e-01 -6.45973125759653e-02
 2.00538074050138e-01 -6.36827537447133e-02
 1.91115730373510e-01 -6.27091100005951e-02
 1.82031955606312e-01 -6.16665963229575e-02
 1.73277250494519e-01 -6.05804462266549e-02
 1.64843454157986e-01 -5.94613291302912e-02
 1.56721375103564e-01 -5.83207026369724e-02
 1.48901864728907e-01 -5.71662723469577e-02
 1.41377861259632e-01 -5.59885725874279e-02
 1.34142223310360e-01 -5.47879639817912e-02
 1.27185781629493e-01 -5.35726509387155e-02
 1.20499734526059e-01 -5.23489382754187e-02
 1.14076387951334e-01 -5.11185206782984e-02
 1.07906585926675e-01 -4.98903224822841e-02
 1.01984005293893e-01 -4.86561800387416e-02
 9.63019774003726e-02 -4.74104904884326e-02
 9.08544817336457e-02 -4.61462062605616e-02
 8.56325276784044e-02 -4.48771599578945e-02
 8.06270040073392e-02 -4.36114427834121e-02
 7.58296082022191e-02 -4.23540721967933e-02
 7.12336143082888e-02 -4.11041970467016e-02
 6.68329832292957e-02 -3.98599162938963e-02
 6.26218608797021e-02 -3.86191315349279e-02
 5.85942159698472e-02 -3.73804967328753e-02
 5.47447015128041e-02 -3.61430981133142e-02
 5.10660701482129e-02 -3.49115995014380e-02
 4.75512192187340e-02 -3.36890619268193e-02
 4.41946630087724e-02 -3.24748950032005e-02
 4.09917684457865e-02 -3.12675243658554e-02
 3.79366619373540e-02 -3.00680869310356e-02
 3.50244609214885e-02 -2.88761173725416e-02
 3.22495006010279e-02 -2.76933425860958e-02
 2.96088463339175e-02 -2.65170234181713e-02
 2.70964771247213e-02 -2.53490891519713e-02
 2.47121455773986e-02 -2.41808392759541e-02
 2.24523437033331e-02 -2.30113185972389e-02
 2.03144733326793e-02 -2.18397248626594e-02
 1.82885667174442e-02 -2.06751598935867e-02
 1.63718685447729e-02 -1.95184160803070e-02
 1.45773161132590e-02 -1.83456090337064e-02
 1.29098260727818e-02 -1.71466434417776e-02
 1.13493521496884e-02 -1.59497818312535e-02
 9.86821312412977e-03 -1.47873136134847e-02
 8.48983919144056e-03 -1.36284809243548e-02
 7.24085769787097e-03 -1.24372616265235e-02
