                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.223531       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -1.25818513039445e-03
 9.75873165574648e-01  1.46851644479541e-03
 9.51726322367178e-01  3.58094376203055e-03
 9.27593466232843e-01  5.05845335780012e-03
 9.03488370930642e-01  5.93085944177477e-03
 8.79466772947734e-01  5.82866617820037e-03
 8.55584463043736e-01  4.89111196646242e-03
 8.31893953457641e-01  3.20748028786907e-03
 8.08437311424825e-01  8.23483834466119e-04
 7.85262749791806e-01 -2.23457357502739e-03
 7.62410442135858e-01 -5.93971727570407e-03
 7.39903541340542e-01 -1.01779130845921e-02
 7.17759808530062e-01 -1.49529803566693e-02
 6.95990796943376e-01 -2.03483300027649e-02
 6.74605722828514e-01 -2.60531153521390e-02
 6.53602347291256e-01 -3.19799674717660e-02
 6.32973569138069e-01 -3.80409382507013e-02
 6.12708625579901e-01 -4.41407158218888e-02
 5.92799117820322e-01 -5.02015177561530e-02
 5.73233110466677e-01 -5.61373168988937e-02
 5.53998765201625e-01 -6.18646395825486e-02
 5.35093860292248e-01 -6.73388719819409e-02
 5.16515893522331e-01 -7.25122456997306e-02
 4.98266183750046e-01 -7.73513720968992e-02
 4.80337385070107e-01 -8.17863956131426e-02
 4.62729472599731e-01 -8.57730170267181e-02
 4.45452290887651e-01 -8.93037867955570e-02
 4.28516773831039e-01 -9.23799459512318e-02
 4.11935382169513e-01 -9.50094310951324e-02
 3.95721039412061e-01 -9.72168854019367e-02
 3.79885806575182e-01 -9.90275226394491e-02
 3.64438083796641e-01 -1.00456033022568e-01
 3.49385504534506e-01 -1.01520811895894e-01
 3.34735590983847e-01 -1.02264012083197e-01
 3.20491982446985e-01 -1.02692395067451e-01
 3.06657628413643e-01 -1.02784843373469e-01
 2.93234172845963e-01 -1.02683381570458e-01
 2.80221852283647e-01 -1.02302027133497e-01
 2.67618955322997e-01 -1.01702326917374e-01
 2.55422904319382e-01 -1.00905482696708e-01
 2.43629557518173e-01 -9.99322287623887e-02
 2.32235409522599e-01 -9.87906711223371e-02
 2.21234603613546e-01 -9.75054440313101e-02
 2.10620797643418e-01 -9.60904302556348e-02
 2.00387333095676e-01 -9.45602797058427e-02
 1.90529016703733e-01 -9.29146793512620e-02
 1.81037203831255e-01 -9.11745498242916e-02
 1.71903918449558e-01 -8.93544975984071e-02
