                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.204780       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -2.48014435626219e-04
 9.76115333834834e-01  2.30662484971066e-03
 9.52218404378255e-01  4.21761796001572e-03
 9.28344123985377e-01  5.42758357883657e-03
 9.04511013789658e-01  6.02986052025246e-03
 8.80766638545007e-01  5.90641919113641e-03
 8.57162738418847e-01  4.98847158370669e-03
 8.33738469958608e-01  3.38413983950801e-03
 8.10531427811009e-01  1.13903714168198e-03
 7.87574698826686e-01 -1.69678794094542e-03
 7.64898804211739e-01 -5.08694994843075e-03
 7.42518704823802e-01 -8.95778284266398e-03
 7.20458946117542e-01 -1.31659179108854e-02
 6.98736804917675e-01 -1.73996886389791e-02
 6.77366309968975e-01 -2.19222984929608e-02
 6.56355387109286e-01 -2.67138234190811e-02
 6.35706059251351e-01 -3.16428909917224e-02
 6.15420061833002e-01 -3.66492931499858e-02
 5.95495718316532e-01 -4.16674731355483e-02
 5.75926474946224e-01 -4.66254731948102e-02
 5.56703459303089e-01 -5.14493040362387e-02
 5.37826870944653e-01 -5.60967621594534e-02
 5.19297777104383e-01 -6.05366981428448e-02
 5.01115215084573e-01 -6.47278104906894e-02
 4.83269328349927e-01 -6.85879744727622e-02
 4.65759581266732e-01 -7.20711901199874e-02
 4.48593979609626e-01 -7.51602243984993e-02
 4.31780020605062e-01 -7.78411912983102e-02
 4.15329987942125e-01 -8.01317996674409e-02
 3.99252953285763e-01 -8.20361781867940e-02
 3.83560792296080e-01 -8.35983869114097e-02
 3.68260455054623e-01 -8.48381408859260e-02
 3.53355613251166e-01 -8.57389827500291e-02
 3.38852651154402e-01 -8.63544240777483e-02
 3.24754303248408e-01 -8.67009708574064e-02
 3.11062394718542e-01 -8.67351290050879e-02
 2.97776737157972e-01 -8.66440701089252e-02
 2.84896301148073e-01 -8.63007504031747e-02
 2.72418849693905e-01 -8.57652764623688e-02
 2.60340078859952e-01 -8.50776639280155e-02
 2.48654991749479e-01 -8.42588186397388e-02
 2.37360114543483e-01 -8.33013808194589e-02
 2.26448754376633e-01 -8.22235248521058e-02
 2.15913594834479e-01 -8.10485269240701e-02
 2.05747956251243e-01 -7.97865285900644e-02
 1.95945136456609e-01 -7.84422946665516e-02
 1.86498439259427e-01 -7.70183610674127e-02
 1.77398822423793e-01 -7.55314643677141e-02
 1.68636641107763e-01 -7.39990193630977e-02
 1.60205243896209e-01 -7.24202682746071e-02
 1.52095635807666e-01 -7.08033567794085e-02
 1.44296700703335e-01 -6.91669491252228e-02
 1.36799820401240e-01 -6.75148120096528e-02
 1.29598658056281e-01 -6.58427465596741e-02
 1.22683282276985e-01 -6.41599151519157e-02
 1.16044626170538e-01 -6.24725077458251e-02
 1.09676068639674e-01 -6.07769096383658e-02
 1.03567995773207e-01 -5.90823107018959e-02
 9.77120719691230e-02 -5.73907402964416e-02
 9.21000328202103e-02 -5.57041048662550e-02
 8.67240804906756e-02 -5.40231768928628e-02
 8.15769233201538e-02 -5.23503319407473e-02
 7.66498500255832e-02 -5.06902639519689e-02
 7.19345683882366e-02 -4.90463057010293e-02
 6.74235328928725e-02 -4.74199503181666e-02
 6.31093335558732e-02 -4.58133301455958e-02
 5.89861211156308e-02 -4.42242435119101e-02
 5.50478929042061e-02 -4.26510904007235e-02
 5.12894320375244e-02 -4.10915280696994e-02
 4.77039632961075e-02 -3.95482548504349e-02
 4.42841831188373e-02 -3.80238236027766e-02
 4.10238622721163e-02 -3.65188741251938e-02
 3.79186291602870e-02 -3.50310467322128e-02
 3.49621373980754e-02 -3.35624848535051e-02
 3.21492621207785e-02 -3.21126633852094e-02
 2.94744784526347e-02 -3.06818694211254e-02
 2.69363779677057e-02 -2.92649444100425e-02
 2.45257515587858e-02 -2.78691661437070e-02
 2.22402417086526e-02 -2.64907666111392e-02
 2.00783219425729e-02 -2.51241304164078e-02
 1.80389801242382e-02 -2.37664429970919e-02
 1.61054023063669e-02 -2.24348795568556e-02
 1.42785740331655e-02 -2.11239405518160e-02
 1.25678236612004e-02 -1.98151337226921e-02
 1.09835502958901e-02 -1.84944768679120e-02
 9.49951838996781e-03 -1.71915023550063e-02
 8.08644969372147e-03 -1.59353685523995e-02
 6.76020418669559e-03 -1.47055939437635e-02
 5.57518615543711e-03 -1.34430633047885e-02
 4.54089408629940e-03 -1.21484168767397e-02
 3.63923065356028e-03 -1.08457368652995e-02
 2.89938932145546e-03 -9.52675144272046e-03
 2.31767729426398e-03 -8.20538948510501e-03
 1.87814549551476e-03 -6.89317266435648e-03
 1.49671024789844e-03 -5.62309066663283e-03
 1.15737834284559e-03 -4.40125251739363e-03
 8.43297639055869e-04 -3.22879886942419e-03
 5.49286200212601e-04 -2.10491605912294e-03
 2.69614653886279e-04 -1.02901269465378e-03
 0.00000000000000e+00  0.00000000000000e+00
 2.39983981389969e-04  1.03724305460413e-03
 4.65841357153508e-04  2.12779023898062e-03
 6.89346203012622e-04  3.26887273194552e-03
 9.15689209657531e-04  4.46257158720000e-03
 1.15190007466458e-03  5.71019863306957e-03
 1.40954222934077e-03  7.01085812948590e-03
 1.70860716600840e-03  8.36539019776227e-03
 2.06733989076359e-03  9.76705094635084e-03
 2.55445904938142e-03  1.11941653773520e-02
 3.15731686468779e-03  1.26530989557818e-02
 3.85535893938116e-03  1.41446274442660e-02
 4.68860685967741e-03  1.56519481668723e-02
 5.65547286995029e-03  1.71701942951710e-02
 6.71856782053216e-03  1.87226149877535e-02
 7.82801502437456e-03  2.03431815864698e-02
 9.04017438513002e-03  2.19968722951847e-02
 1.03651278188405e-02  2.36776102586040e-02
 1.18069500722713e-02  2.53853873527474e-02
 1.33538991268682e-02  2.71362837933867e-02
 1.50086667528974e-02  2.89283005313093e-02
 1.67816258765615e-02  3.07548160228179e-02
 1.86834864919403e-02  3.26102238575600e-02
 2.07091460533513e-02  3.45029642018909e-02
 2.28656780570212e-02  3.64299845290305e-02
 2.51591286609392e-02  3.83896503222888e-02
 2.75954897147180e-02  4.03805840155566e-02
 3.01722907159815e-02  4.23735433321362e-02
 3.28989704496305e-02  4.43990542499279e-02
 3.57825961573086e-02  4.64565662653584e-02
 3.88270259217290e-02  4.85477596737030e-02
 4.20399284155648e-02  5.06705396045002e-02
 4.54273275578580e-02  5.28259551225549e-02
 4.89951286652319e-02  5.50112206241604e-02
 5.27485244472882e-02  5.72207381860418e-02
 5.66939167733009e-02  5.94576770155779e-02
 6.08394918058660e-02  6.17204686216625e-02
 6.51936086621727e-02  6.40077098711453e-02
 6.97642742118571e-02  6.63194489623023e-02
 7.45596381987638e-02  6.86527816330535e-02
 7.95879282622988e-02  7.10037208639327e-02
 8.48574226878287e-02  7.33668827884310e-02
 9.03764590281290e-02  7.57358018703759e-02
 9.61548988646485e-02  7.81012479400708e-02
 1.02197259422762e-01  8.04750789695349e-02
 1.08511090938589e-01  8.28646085120975e-02
 1.15107019360697e-01  8.52586318388594e-02
 1.21998583438300e-01  8.76380309295691e-02
 1.29191375616164e-01  9.00022166492239e-02
 1.36699153227918e-01  9.23287678924892e-02
 1.44524987593108e-01  9.46264884649491e-02
 1.52672582491537e-01  9.69053197425067e-02
 1.61154057800813e-01  9.91504026577195e-02
 1.70000054227688e-01  1.01278981407245e-01
 1.79182729811607e-01  1.03404312649193e-01
 1.88729990209254e-01  1.05440494608888e-01
 1.98651553184471e-01  1.07367959511263e-01
 2.08952144843759e-01  1.09188390444915e-01
 2.19634081492933e-01  1.10916954522490e-01
 2.30700868387459e-01  1.12550056865708e-01
 2.42171281157298e-01  1.13998134611514e-01
 2.54046900430413e-01  1.15262392519325e-01
 2.66327337024732e-01  1.16368051391714e-01
 2.79014284990403e-01  1.17307960602611e-01
 2.92108740985181e-01  1.18083536897808e-01
 3.05613794823055e-01  1.18496038788242e-01
 3.19529545898178e-01  1.18508080666395e-01
 3.33852307762582e-01  1.18269881142888e-01
 3.48580395009177e-01  1.17710706372203e-01
 3.63714050739969e-01  1.16937518185557e-01
 3.79248228709842e-01  1.15879477912238e-01
 3.95180002180321e-01  1.14547167878662e-01
 4.11506715181195e-01  1.12939055370408e-01
 4.28233605155337e-01  1.11117005841472e-01
 4.45339224924760e-01  1.08951197973433e-01
 4.62836860317355e-01  1.06590402252643e-01
 4.80750129340785e-01  1.03909150433763e-01
 4.99057262482951e-01  1.01008694931508e-01
 5.17738075875442e-01  9.79449097982545e-02
 5.36767132324157e-01  9.45994413830351e-02
 5.56147188407893e-01  9.10457873833434e-02
 5.75856714293702e-01  8.72911606904177e-02
 5.95893862177345e-01  8.33235504992596e-02
 6.16249948111237e-01  7.91562908121632e-02
 6.36911637927265e-01  7.47906197359576e-02
 6.57881192294861e-01  7.03012249815382e-02
 6.79145019555023e-01  6.56916253630683e-02
 7.00687679769235e-01  6.09633468118212e-02
 7.22507351651952e-01  5.61819784282014e-02
 7.44580268363826e-01  5.13188858282678e-02
 7.66904965617920e-01  4.64498310013302e-02
 7.89463919337341e-01  4.15838319717225e-02
 8.12242940618920e-01  3.67478947683415e-02
 8.35225800196436e-01  3.19680831473195e-02
 8.58387303005666e-01  2.72314817103156e-02
 8.81707984258764e-01  2.25566883229819e-02
 9.05170120018434e-01  1.79728629791201e-02
 9.28753501622828e-01  1.34988814645671e-02
 9.52434789737862e-01  9.13474103088085e-03
 9.76191044051782e-01  4.84144404129251e-03
 1.00000000000000e+00  6.50497134903792e-04
